year,region,crop,production,yield
2024,Manitoba,"Wheat, spring",5644786,4404
2024,Ontario,Barley,89883,4107
2024,Ontario,Canary seed,0,
2024,Ontario,Rapeseed,61007,2763
2024,Ontario,Chick peas,0,
2024,Ontario,Corn for grain,9627358,11298
2024,Ontario,Flaxseed,,
2024,Ontario,Lentils,0,
2024,Ontario,Oats,91303,3450
2024,Ontario,"Peas, dry",3702,2314
2024,Ontario,Soybeans,4354506,3486
2024,Ontario,Sunflower seed,5313,2217
2024,Ontario,"Wheat, all",2560200,6247
2024,Ontario,"Wheat, durum",,
2024,Ontario,"Wheat, spring",86689,3334
2024,Quebec,Barley,107610,3254
2024,Quebec,Canary seed,0,
2024,Quebec,Rapeseed,35894,2342
2024,Quebec,Chick peas,,
2024,Quebec,Corn for grain,3606811,10176
2024,Quebec,Flaxseed,,
2024,Quebec,Lentils,0,
2024,Quebec,Oats,144611,2580
2024,Quebec,"Peas, dry",,
2024,Quebec,Soybeans,1425137,3425
2024,Quebec,Sunflower seed,,
2024,Quebec,"Wheat, all",304183,3422
2024,Quebec,"Wheat, durum",,
2024,Quebec,"Wheat, spring",176334,3004
2024,Saskatchewan,Barley,3035313,3493
2024,Saskatchewan,Canary seed,180397,1592
2024,Saskatchewan,Rapeseed,10454084,2146
2024,Saskatchewan,Chick peas,242808,1462
2024,Saskatchewan,Corn for grain,67160,5565
2024,Saskatchewan,Flaxseed,196015,1172
2024,Saskatchewan,Lentils,2112396,1441
2024,Saskatchewan,Oats,1469992,3296
2024,Saskatchewan,"Peas, dry",1533101,2195
2024,Saskatchewan,Soybeans,45488,1699
2024,Saskatchewan,Sunflower seed,,
2024,Saskatchewan,"Wheat, all",17192904,3012
2024,Saskatchewan,"Wheat, durum",4971666,2406
2024,Saskatchewan,"Wheat, spring",12082558,3353
2025,Alberta,Barley,5313172,4340
2025,Alberta,Canary seed,,
2025,Alberta,Rapeseed,6349122,2544
2025,Alberta,Chick peas,39319,2039
2025,Alberta,Corn for grain,,
2025,Alberta,Flaxseed,49811,2564
2025,Alberta,Lentils,462879,2047
2025,Alberta,Oats,875942,3291
2025,Alberta,"Peas, dry",1823474,3064
2025,Alberta,Soybeans,,
2025,Alberta,Sunflower seed,,
2025,Alberta,"Wheat, all",12283980,3834
2025,Alberta,"Wheat, durum",1581258,2966
2025,Alberta,"Wheat, spring",10432514,4011
2025,British Columbia,Barley,78235,3964
2025,British Columbia,Canary seed,,
2025,British Columbia,Rapeseed,107289,2372
2025,British Columbia,Chick peas,0,
2025,British Columbia,Corn for grain,8012,8163
2025,British Columbia,Flaxseed,0,
2025,British Columbia,Lentils,,
2025,British Columbia,Oats,101825,3820
2025,British Columbia,"Peas, dry",31532,2893
2025,British Columbia,Soybeans,,
2025,British Columbia,Sunflower seed,,
2025,British Columbia,"Wheat, all",137315,3762
2025,British Columbia,"Wheat, durum",10504,4879
2025,British Columbia,"Wheat, spring",105525,3541
2025,Manitoba,Barley,534744,4570
2025,Manitoba,Canary seed,,
2025,Manitoba,Rapeseed,3062966,2510
2025,Manitoba,Chick peas,,
2025,Manitoba,Corn for grain,2164341,9228
2025,Manitoba,Flaxseed,28338,2044
2025,Manitoba,Lentils,,
2025,Manitoba,Oats,953866,4439
2025,Manitoba,"Peas, dry",271244,3451
2025,Manitoba,Soybeans,1906154,2863
2025,Manitoba,Sunflower seed,66550,2433
2025,Manitoba,"Wheat, all",5863572,4414
2025,Manitoba,"Wheat, durum",101955,4497
2025,Manitoba,"Wheat, spring",5709419,4416
2025,Ontario,Barley,79728,3740
2025,Ontario,Canary seed,0,
2025,Ontario,Rapeseed,59052,2789
2025,Ontario,Chick peas,0,
2025,Ontario,Corn for grain,9493238,11025
2025,Ontario,Flaxseed,,
2025,Ontario,Lentils,,
2025,Ontario,Oats,70805,3425
2025,Ontario,"Peas, dry",3614,2008
2025,Ontario,Soybeans,3560610,3071
2025,Ontario,Sunflower seed,,
2025,Ontario,"Wheat, all",3030809,6322
2025,Ontario,"Wheat, durum",,
2025,Ontario,"Wheat, spring",94122,3780
2025,Quebec,Barley,98936,3087
2025,Quebec,Canary seed,0,
2025,Quebec,Rapeseed,24373,2247
2025,Quebec,Chick peas,0,
2025,Quebec,Corn for grain,2948392,8855
2025,Quebec,Flaxseed,,
2025,Quebec,Lentils,0,
2025,Quebec,Oats,123936,2437
2025,Quebec,"Peas, dry",2603,2169
2025,Quebec,Soybeans,1171346,2698
2025,Quebec,Sunflower seed,,
2025,Quebec,"Wheat, all",301838,3585
2025,Quebec,"Wheat, durum",,
2025,Quebec,"Wheat, spring",161586,3020
2025,Saskatchewan,Barley,3522285,4205
2025,Saskatchewan,Canary seed,226285,1819
2025,Saskatchewan,Rapeseed,12203632,2488
2025,Saskatchewan,Chick peas,442269,2225
2025,Saskatchewan,Corn for grain,30491,7057
2025,Saskatchewan,Flaxseed,375604,1743
2025,Saskatchewan,Lentils,2894579,1911
2025,Saskatchewan,Oats,1763257,3847
2025,Saskatchewan,"Peas, dry",1800305,2593
2025,Saskatchewan,Soybeans,108195,2858
2025,Saskatchewan,Sunflower seed,,
2025,Saskatchewan,"Wheat, all",18246567,3340
2025,Saskatchewan,"Wheat, durum",5393885,2664
2025,Saskatchewan,"Wheat, spring",12723069,3751
(blank),(blank),(blank),,
